Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAN,"Aaron's Inc",45.87,-0.63,-1.35%,46.6,45.06,93730,"11:20 ET"
AAXN,"Axon Inc",100.15,4.35,+4.54%,100.65,95.2,376164,"11:20 ET"
ACC,"American Campus Communities Inc",35.35,0.89,+2.58%,35.51,34.27,240626,"11:21 ET"
ACHC,"Acadia Healthcr Company",24.98,0.059999999999999,+0.24%,25.18,24.39,164225,"11:20 ET"
ACIW,"Aci Worldwide Inc",27.45,1,+3.78%,27.87,26.42,112331,"11:21 ET"
ACM,"Aecom Technology Corp",37.83,0.22,+0.58%,37.86,37,127818,"11:18 ET"
ADNT,"Adient Plc",16.12,0.22,+1.38%,16.2,15.55,177831,"11:20 ET"
AEO,"American Eagle Outfitters",10.97,-0.09,-0.81%,11.09,10.61,2826949,"11:20 ET"
AFG,"American Financial Group",62.13,0.79,+1.29%,62.6,61.11,192431,"11:20 ET"
AGCO,"Agco Corp",54.78,0.28,+0.51%,54.85,53.64,56178,"11:20 ET"
ALE,"Allete Inc",54.95,0.37,+0.68%,55,54.07,39988,"11:19 ET"
AM,"Antero Midstream Corp",4.99,-0.02,-0.40%,5,4.77,1165311,"11:21 ET"
AMCX,"Amc Networks Cl A",23.46,0.039999999999999,+0.17%,23.78,23.02,110737,"11:21 ET"
AMED,"Amedisys Inc",197.36,-0.10999999999999,-0.06%,201.51,196.15,119875,"11:17 ET"
AMG,"Affiliated Managers Group",74.5,2.15,+2.97%,74.88,71.93,61360,"11:20 ET"
AN,"Autonation Inc",37.85,0.18,+0.48%,38.14,37.14,50820,"11:18 ET"
ARW,"Arrow Electronics",68.06,0.64,+0.95%,68.17,67.06,42711,"11:11 ET"
ARWR,"Arrowhead Pharma",42.42,-0.18,-0.42%,42.93,41.3,232552,"11:21 ET"
ASB,"Associated Banc-Corp",13.6,0.17,+1.27%,13.61,13.19,303706,"11:20 ET"
ASGN,"On Assignment",66.71,1.07,+1.63%,66.79,65.16,41882,"11:20 ET"
ASH,"Ashland Global Holdings Inc",68.8,0.34,+0.50%,68.87,67.72,32257,"11:14 ET"
ATGE,"Adtalem Global Education Inc",31.58,0.16,+0.51%,31.65,31.17,49451,"11:19 ET"
ATI,"Allegheny Technologies Inc",10.3,0.020000000000001,+0.19%,10.31,9.82,379023,"11:20 ET"
ATR,Aptargroup,111.19,1.94,+1.78%,111.23,109.13,31110,"11:19 ET"
AVNS,"Avanos Medical Inc",29.3,0.19,+0.65%,29.32,28.68,19191,"11:16 ET"
AVT,"Avnet Inc",27.83,0.76,+2.81%,27.88,26.76,132162,"11:18 ET"
AYI,"Acuity Brands Inc",96.64,7.31,+8.18%,104,93.1,516442,"11:20 ET"
BBBY,"Bed Bath & Beyond",10.59,-0.23,-2.13%,11.35,10.44,3547700,"11:21 ET"
BC,"Brunswick Corp",64.23,0.83000000000001,+1.31%,64.32,62.68,87627,"11:19 ET"
BCO,"Brink's Company",46,0.18,+0.39%,46.12,44.64,48023,"11:19 ET"
BDC,"Belden Inc",32.36,0.43,+1.35%,32.47,31.43,52145,"11:18 ET"
BHF,"Brighthouse Financial Inc",27.54,0.57,+2.11%,27.65,26.66,184640,"11:20 ET"
BIO,"Bio-Rad Laboratories",441.49,9.15,+2.12%,441.49,433.16,19105,"11:18 ET"
BJ,"Bj's Wholesale Club Holdings Inc",37.1,-0.77,-2.03%,38.33,37.05,882819,"11:21 ET"
BKH,"Black Hills Corp",56.84,1.04,+1.86%,56.86,55.61,100526,"11:17 ET"
BLKB,"Blackbaud Inc",57.66,0.54,+0.95%,58.47,56.58,49051,"11:18 ET"
BOH,"Bank of Hawaii Corp",61.89,1.42,+2.35%,61.89,59.88,32965,"11:20 ET"
BRO,"Brown & Brown",40.49,0.52,+1.30%,40.53,39.93,175675,"11:20 ET"
BRX,"Brixmor Property Group Inc",12.99,0.040000000000001,+0.31%,13.11,12.67,920575,"11:21 ET"
BXS,"Bancorpsouth Inc",22.82,0.78,+3.54%,22.82,21.8,92322,"11:19 ET"
BYD,"Boyd Gaming Corp",20.76,0.21,+1.02%,20.95,20.27,452278,"11:20 ET"
CABO,"Cable One Inc",1776.33,19.33,+1.10%,1787.3,1715.11,8037,"11:17 ET"
CACI,"Caci International",217,-2.09,-0.95%,219.82,216.26,30200,"11:18 ET"
CAKE,"Cheesecake Fact",22.93,0.19,+0.84%,23.18,22.15,1122782,"11:20 ET"
CAR,"Avis Budget Group",23.28,0.57,+2.51%,23.48,22.05,1030879,"11:21 ET"
CASY,"Casey's General Stor",147.8,-0.58999999999997,-0.40%,148,146.93,34120,"11:19 ET"
CATY,"Cathay Genl Bncp",26.1,0.15,+0.58%,26.52,25.74,77804,"11:20 ET"
CBRL,"Cracker Barrel",110.15,0.84,+0.77%,110.4,107.01,83386,"11:19 ET"
CBSH,"Commerce Bancshares",59.44,0.95,+1.62%,59.54,57.66,56864,"11:20 ET"
CBT,"Cabot Corp",36.81,0.26000000000001,+0.71%,36.91,35.9,23117,"11:20 ET"
CC,"Chemours Company",14.99,-0.32,-2.09%,15.3,14.93,686615,"11:21 ET"
CCMP,"Cabot Microelectron",137.98,4.17,+3.12%,138.41,132.62,25813,"11:19 ET"
CDAY,"Ceridian Hcm Holding Inc",79.1,0.81999999999999,+1.05%,79.15,77.54,239600,"11:20 ET"
CDK,"Cdk Global Inc",41.25,0.22,+0.54%,41.33,40.66,71626,"11:20 ET"
CFR,"Cullen/Frost Bankers",74.18,1.64,+2.26%,74.24,71.64,40051,"11:20 ET"
CFX,"Colfax Corp",27.43,0.54,+2.01%,27.51,26.64,158083,"11:21 ET"
CGNX,"Cognex Cp",59.64,0.97,+1.65%,59.91,58.8,357577,"11:21 ET"
CHDN,"Churchill Downs IN",133.48,0.75,+0.57%,133.48,130.55,41653,"11:19 ET"
CHE,"Chemed Inc",442.08,-1.38,-0.31%,445.8,438.9,41222,"11:19 ET"
CHH,"Choice Hotels International",78.78,0.38,+0.48%,78.9,77.3,41448,"11:18 ET"
CIEN,"Ciena Corp",54.48,1.33,+2.50%,54.54,53.2,488671,"11:20 ET"
CIT,"Cit Group Inc",20.61,-0.12,-0.58%,20.89,19.94,642747,"11:21 ET"
CLGX,Corelogic,67.87,-0.50999999999999,-0.75%,68.68,67.44,351549,"11:20 ET"
CLH,"Clean Harbors",59.99,0.35,+0.59%,59.99,58.6,35240,"11:16 ET"
CLI,"Mack-Cali Realty Corp",15.41,0.02,+0.13%,15.47,15.11,122526,"11:20 ET"
CMC,"Commercial Metals Company",20.48,0.32,+1.59%,20.5,19.98,120529,"11:19 ET"
CMD,"Cantel Medical",44.71,0.77,+1.75%,44.79,42.76,47017,"11:19 ET"
CMP,"Compass Minerals Intl Inc",49.25,0.93,+1.92%,49.36,47.97,30043,"11:21 ET"
CNK,"Cinemark Holdings Inc",11.65,0.09,+0.77%,11.99,11.52,1324185,"11:20 ET"
CNO,"Cno Financial Group",15.54,0.33,+2.17%,15.56,14.97,221447,"11:20 ET"
CNX,"CNX Resources Corp",8.58,0.0099999999999998,+0.12%,8.61,8.39,527306,"11:21 ET"
COHR,"Coherent Inc",132.54,0.25999999999999,+0.20%,134.57,131.92,26238,"11:15 ET"
COLM,"Columbia Sprtswr",80.44,0.58,+0.73%,80.6,79,77200,"11:19 ET"
CONE,"Cyrusone Inc",73.13,-1.34,-1.80%,74.1,72.09,336286,"11:21 ET"
COR,"Coresite Realty Corp",120.46,1.62,+1.36%,120.89,118.9,79501,"11:20 ET"
CPT,"Camden Property Trust",91.65,1.76,+1.96%,91.85,89.85,88057,"11:21 ET"
CR,"Crane Company",59.65,0.84,+1.43%,59.78,58.26,88653,"11:17 ET"
CREE,"Cree Inc",59.32,1.02,+1.75%,59.49,58.15,173191,"11:17 ET"
CRI,"Carter's Inc",80.57,1.24,+1.56%,80.79,79.15,127287,"11:17 ET"
CRL,"Charles River Laboratories Intl",171.7,2.7,+1.60%,171.7,169.1,51377,"11:17 ET"
CRS,"Carpenter Technology Corp",24.55,0.15,+0.61%,24.59,23.52,46938,"11:20 ET"
CRUS,"Cirrus Logic Inc",60.81,0.52,+0.86%,60.96,60.21,131850,"11:19 ET"
CSL,"Carlisle Companies Inc",120.93,1.62,+1.36%,120.93,118.75,52879,"11:19 ET"
CTLT,"Catalent Inc",72.5,0.56,+0.78%,72.5,71.27,124421,"11:21 ET"
CUZ,"Cousins Properties Inc",30.2,0.17,+0.57%,30.24,29.66,143430,"11:19 ET"
CVLT,"Commvault Systems",38.89,0.76,+1.99%,39,38.13,31401,"11:19 ET"
CW,"Curtiss-Wright Corp",89.96,0.0099999999999909,+0.01%,90.46,88.6,44628,"11:20 ET"
CXW,"Corecivic Inc",9.35,-0.18,-1.89%,9.54,9.11,653803,"11:21 ET"
CZR,"Caesars Entertainment Corp",12.02,-0.050000000000001,-0.41%,12.12,11.93,1963065,"11:21 ET"
DAN,"Dana Inc",12.22,-0.029999999999999,-0.24%,12.34,11.76,296395,"11:20 ET"
DAR,"Darling International Inc",24.41,0.76,+3.21%,24.42,23.44,189583,"11:21 ET"
DCI,"Donaldson Company",46.33,0.46,+1.00%,46.49,45.79,98676,"11:20 ET"
DDS,Dillard's,25.28,-0.87,-3.33%,26.37,25,136580,"11:21 ET"
DECK,"Deckers Outdoor Corp",196.53,1.86,+0.96%,197,193.01,35436,"11:18 ET"
DEI,"Douglas Emmett",31.16,0.53,+1.73%,33,30.49,175582,"11:19 ET"
DKS,"Dick's Sporting Goods Inc",41.43,-0.12,-0.29%,41.87,41.14,387865,"11:21 ET"
DLPH,"Delphi Technologies Plc",14.24,0.040000000000001,+0.28%,14.27,13.93,356875,"11:21 ET"
DLX,"Deluxe Corp",23.48,-0.57,-2.37%,23.93,22.93,78612,"11:20 ET"
DNKN,"Dunkin' Brands Group",65.65,1.07,+1.66%,65.69,64.01,215357,"11:19 ET"
DNOW,"Now Inc",8.58,0.0099999999999998,+0.12%,8.67,8.32,116201,"11:20 ET"
DOC,"Physicians Realty Trust",17.72,0.15,+0.85%,17.75,17.42,254583,"11:20 ET"
DY,"Dycom Industries",40.38,-0.16,-0.39%,40.54,39.46,41102,"11:18 ET"
EAT,"Brinker International",24.84,-0.2,-0.80%,25.12,23.72,756973,"11:20 ET"
EGP,"Eastgroup Properties",118.61,2.01,+1.72%,118.85,116.22,20573,"11:21 ET"
EHC,"Encompass Health Corp",61.51,0.83,+1.37%,61.56,60.35,188616,"11:19 ET"
EME,"Emcor Group",66.26,0.99000000000001,+1.52%,66.5,64.77,36010,"11:20 ET"
ENPH,"Enphase Energy Inc",47.1,-0.35,-0.74%,48.48,47.02,1010672,"11:21 ET"
ENR,"Energizer Holdings Inc",47.17,0.99,+2.14%,47.86,46.48,151398,"11:20 ET"
ENS,"Enersys Inc",64.75,0.39,+0.61%,64.89,63.56,31283,"11:20 ET"
EPC,"Edgewell Personal Care",31.02,0.31,+1.01%,31.13,30.17,65728,"11:20 ET"
EPR,"Entertainment Properties Trust",33.45,0.43,+1.30%,33.79,32.33,243466,"11:20 ET"
EQT,"Eqt Corp",11.61,0.55,+4.97%,11.69,11.07,1851189,"11:21 ET"
ERI,"Eldorado Resorts",39.29,-0.3,-0.76%,40,38.3,1359441,"11:21 ET"
ESNT,"Essent Group Ltd",36.55,0.87,+2.44%,36.6,35.07,195651,"11:20 ET"
ETRN,"Equitrans Midstream Corp",8.14,-0.14,-1.69%,8.27,7.99,911309,"11:19 ET"
ETSY,"Etsy Inc",105.02,2.13,+2.07%,105.61,102.71,1317175,"11:21 ET"
EV,"Eaton Vance Corp",38.29,0.81,+2.16%,38.36,37.28,165544,"11:20 ET"
EVR,"Evercore Partners Inc",57.8,0.48,+0.84%,57.86,56.8,64415,"11:20 ET"
EWBC,"East West Bancorp",36.22,0.96,+2.72%,36.41,34.87,176944,"11:20 ET"
EXEL,"Exelixis Inc",23.39,0.66,+2.90%,23.4,22.64,455239,"11:20 ET"
EXP,"Eagle Materials Inc",70.2,-0.33,-0.47%,70.66,69.16,37873,"11:20 ET"
FAF,"First American Corp",48.05,0.66999999999999,+1.41%,48.05,47.17,99046,"11:20 ET"
FCFS,"First Cash Fin Svcs",66.98,0.72,+1.09%,67.21,65.3,45937,"11:20 ET"
FCN,"Fti Consulting",112.44,0.8,+0.72%,113.65,111.72,117775,"11:21 ET"
FDS,"Factset Research Systems Inc",327.45,0.64999999999998,+0.20%,331.24,325.33,46652,"11:20 ET"
FFIN,"First Finl Bkshs Inc",28.57,0.61,+2.18%,28.58,27.75,147520,"11:21 ET"
FHI,"Federated Investors",23.93,0.66,+2.84%,23.94,23.03,125195,"11:21 ET"
FHN,"First Horizon National Corp",9.84,0.27,+2.82%,9.94,9.43,2102443,"11:21 ET"
FICO,"Fair Isaac and Company Inc",412.97,6.9400000000001,+1.71%,413.36,407.11,38645,"11:21 ET"
FIVE,"Five Below Inc",106.42,-0.69,-0.64%,107.09,105.02,269993,"11:20 ET"
FL,"Footlocker Inc",29.5,0.07,+0.24%,29.64,28.84,410489,"11:20 ET"
FLO,"Flowers Foods",22.4,0.19,+0.86%,22.41,22.21,94721,"11:20 ET"
FLR,"Fluor Corp",12.15,0.16,+1.33%,12.36,11.72,566348,"11:20 ET"
FNB,"F.N.B. Corp",7.42,0.1,+1.37%,7.43,7.22,522501,"11:20 ET"
FR,"First Industrial Realty Trust",38.59,0.75,+1.98%,38.7,37.81,200998,"11:20 ET"
FSLR,"First Solar Inc",49.81,0.2,+0.40%,50.34,49.2,629301,"11:21 ET"
FULT,"Fulton Financial Cor",10.51,0.07,+0.67%,10.54,10.24,273682,"11:21 ET"
GATX,"GATX Corp",61.38,0.81,+1.34%,61.66,59.73,24663,"11:20 ET"
GEF,"Greif Bros. Corp",34.11,0.38,+1.13%,34.11,33.27,11057,"11:20 ET"
GEO,"Geo Group Inc",11.75,0.3,+2.62%,11.8,11.3,550263,"11:20 ET"
GGG,"Graco Inc",47.94,0.47,+0.99%,47.94,47.28,70630,"11:19 ET"
GHC,"Graham Holdings Company",343.78,-2.71,-0.78%,347.56,342.83,2096,"11:20 ET"
GMED,"Globus Medical Inc",47.63,0.23,+0.49%,48.02,46.9,189077,"11:20 ET"
GNRC,"Generac Holdings Inc",120.56,1.68,+1.41%,120.6,118.49,101660,"11:20 ET"
GNTX,"Gentex Corp",25.79,0.009999999999998,+0.04%,25.8,25.35,608268,"11:21 ET"
GNW,"Genworth Financial Inc",1.96,-0.6,-23.44%,2.2,1.87,14137690,"11:21 ET"
GRUB,"Grubhub Inc",68.92,-0.8,-1.15%,69.43,68.6,479706,"11:21 ET"
GT,"Goodyear Tire Rubber",8.91,-0.11,-1.22%,9.02,8.7,1379181,"11:20 ET"
HAE,"Haemonetics Corp",88.34,0.35000000000001,+0.40%,88.35,87.46,64679,"11:19 ET"
HAIN,"Hain Celestial Group",31.57,0.58,+1.87%,31.63,30.9,121703,"11:19 ET"
HCSG,"Healthcare Svcs Gp",24.41,-0.11,-0.45%,24.49,24.06,404025,"11:21 ET"
HE,"Hawaiian Electric Industries",36.29,0.4,+1.11%,36.3,35.88,27828,"11:17 ET"
HELE,"Helen of Troy Ltd",188.26,0.039999999999992,+0.02%,190,185.86,27819,"11:15 ET"
HIW,"Highwoods Properties",37.52,0.34,+0.91%,37.63,36.88,108824,"11:20 ET"
HNI,"Hon Industries Inc",30.97,0.009999999999998,+0.03%,31.15,30.46,31382,"11:16 ET"
HOMB,"Home Bancshares Inc",15.31,0.47,+3.17%,15.34,14.35,168720,"11:21 ET"
HPP,"Hudson Pacific Properties",25.46,0.34,+1.35%,25.55,24.98,230471,"11:20 ET"
HQY,Healthequity,58.96,0.86,+1.48%,58.98,57.74,115789,"11:21 ET"
HR,"Healthcare Realty Trust Inc",29.48,0.29,+0.99%,29.63,28.97,440822,"11:20 ET"
HRC,"Hill-Rom Holdings Inc",109.58,1.37,+1.27%,109.64,107.49,71854,"11:18 ET"
HUBB,"Hubbell Inc B",124.25,2.15,+1.76%,124.8,122.34,78144,"11:20 ET"
HWC,"Hancock Whitney Corp",21.06,0.51,+2.48%,21.13,20.24,35386,"11:21 ET"
IART,"Integra Lifesciences",46.62,0.14,+0.30%,46.63,46.12,44920,"11:19 ET"
IBKR,"Interactive Brokers",41.58,0.25,+0.60%,41.68,41.18,55496,"11:19 ET"
IBOC,"Intl Bancshares",31.83,0.6,+1.92%,31.98,30.68,32258,"11:19 ET"
ICUI,"I C U Medical Inc",181.17,1.01,+0.56%,181.78,179.3,24896,"11:19 ET"
IDA,"Idacorp Inc",87.77,1.57,+1.82%,87.9,86.36,50438,"11:20 ET"
IDCC,"Interdigital Inc",57.08,-0.15,-0.26%,57.25,56.3,36082,"11:20 ET"
IIVI,"I I V I Inc",46.95,-1.44,-2.98%,48.5,45.06,1555814,"11:21 ET"
INGR,"Ingredion Inc",83,1.71,+2.10%,83.07,80.67,63932,"11:21 ET"
INT,"World Fuel Services Corp",25.37,0.030000000000001,+0.12%,25.55,24.76,45916,"11:18 ET"
ITT,"ITT Inc",58.7,0.32,+0.55%,58.72,57.76,239639,"11:20 ET"
JACK,"Jack IN The Box Inc",73.91,0.34999999999999,+0.48%,74.07,72.11,55991,"11:20 ET"
JBGS,"Jbg Smith Properties",29.94,0.29,+0.98%,29.98,29.43,44535,"11:20 ET"
JBL,"Jabil Circuit",32.29,0.019999999999996,+0.06%,32.37,31.6,298833,"11:21 ET"
JBLU,"Jetblue Airways Cp",10.95,-0.11,-0.99%,11.13,10.59,5204428,"11:21 ET"
JCOM,"J2 Global Inc",66.3,-3.2,-4.60%,67.8,61,1076975,"11:20 ET"
JEF,"Jefferies Financial Group Inc",15.64,0.5,+3.30%,16.11,15.43,1030567,"11:21 ET"
JHG,"Janus Henderson Group Plc",21.28,0.27,+1.29%,21.35,20.94,605757,"11:21 ET"
JLL,"Jones Lang Lasalle Inc",103.43,2.23,+2.20%,104.38,100.97,74469,"11:21 ET"
JW.A,"John Wiley Sons Cl A",38.95,-0.44,-1.12%,39.47,38.53,64978,"11:15 ET"
KAR,"Kar Auction Services Inc",14.12,-0.090000000000002,-0.63%,14.38,13.84,541526,"11:20 ET"
KBH,"KB Home",30.11,0.15,+0.50%,30.23,29.47,315579,"11:21 ET"
KBR,"KBR Inc",22.55,-0.36,-1.57%,22.95,22.23,276834,"11:20 ET"
KEX,"Kirby Corp",53.26,-0.22,-0.41%,53.54,52.61,72830,"11:20 ET"
KMPR,"Kemper Corp",72.56,1.55,+2.18%,72.7,70.96,25115,"11:15 ET"
KMT,"Kennametal Inc",29.06,0.61,+2.14%,29.12,28.05,47010,"11:21 ET"
KNX,"Knight-Swift Transporation Inc",41.92,0.3,+0.72%,41.92,41.39,320360,"11:20 ET"
KRC,"Kilroy Realty Corp",59.37,0.73999999999999,+1.26%,59.42,58.21,111241,"11:18 ET"
LAMR,"Lamar Advertis A",67.05,0.53,+0.80%,67.05,65.01,78097,"11:19 ET"
LANC,"Lancaster Colony Cor",154,2.33,+1.54%,154.35,150.61,10431,"11:17 ET"
LEA,"Lear Corp",108.45,0.56,+0.52%,108.73,106.08,51949,"11:18 ET"
LECO,"Lincoln Elec Hld",84.43,1.58,+1.91%,84.65,82.02,70685,"11:16 ET"
LFUS,"Littelfuse Inc",170.8,3.08,+1.84%,171.59,167.47,11711,"11:07 ET"
LGND,"Ligand Pharm",113.56,0.54000000000001,+0.48%,114.93,112.36,57425,"11:11 ET"
LHCG,"LHC Group Inc",171.84,-0.34999999999999,-0.20%,172.36,164.7,61733,"11:18 ET"
LII,"Lennox International",236.22,6.41,+2.79%,236.22,228.58,55376,"11:20 ET"
LITE,"Lumentum Hld",82.05,3.64,+4.64%,82.27,78.5,831639,"11:21 ET"
LIVN,"Livanova Plc OR Sh",47.35,0.29,+0.62%,47.69,46.64,49391,"11:18 ET"
